Dataset,Modelo,R²,RMSE
Automobile,Regresión Lineal,0.724578048646674,5804.910592267271
Automobile,k-NN,0.6807459593086581,6249.77612976618
Reg1,Regresión Lineal,0.15737759121756678,7.882801958742243
Reg1,k-NN,0.11121288281721231,8.09585999258929
